Time: 0.004068 seg, Number of threads: 8, Limit: 10000
Time: 0.002389 seg, Number of threads: 8, Limit: 10000
Time: 0.002367 seg, Number of threads: 8, Limit: 10000
Time: 0.003463 seg, Number of threads: 8, Limit: 10000
Time: 0.002437 seg, Number of threads: 8, Limit: 10000
Time: 0.002362 seg, Number of threads: 8, Limit: 10000
Time: 0.00368 seg, Number of threads: 8, Limit: 10000
Time: 0.003377 seg, Number of threads: 8, Limit: 10000
Time: 0.002904 seg, Number of threads: 8, Limit: 10000
Time: 0.01258 seg, Number of threads: 1, Limit: 100000
Time: 0.010736 seg, Number of threads: 1, Limit: 100000
Time: 0.010481 seg, Number of threads: 1, Limit: 100000
Time: 0.00908 seg, Number of threads: 1, Limit: 100000
Time: 0.009926 seg, Number of threads: 1, Limit: 100000
Time: 0.009708 seg, Number of threads: 1, Limit: 100000
Time: 0.010381 seg, Number of threads: 1, Limit: 100000
Time: 0.010504 seg, Number of threads: 1, Limit: 100000
Time: 0.011329 seg, Number of threads: 1, Limit: 100000
Time: 0.013472 seg, Number of threads: 1, Limit: 100000
Time: 0.010323 seg, Number of threads: 2, Limit: 100000
Time: 0.014108 seg, Number of threads: 2, Limit: 100000
Time: 0.020035 seg, Number of threads: 2, Limit: 100000
Time: 0.009898 seg, Number of threads: 2, Limit: 100000
Time: 0.010151 seg, Number of threads: 2, Limit: 100000
Time: 0.009756 seg, Number of threads: 2, Limit: 100000
Time: 0.012332 seg, Number of threads: 2, Limit: 100000
Time: 0.009923 seg, Number of threads: 2, Limit: 100000
Time: 0.016892 seg, Number of threads: 2, Limit: 100000
Time: 0.009496 seg, Number of threads: 2, Limit: 100000
Time: 0.019299 seg, Number of threads: 4, Limit: 100000
Time: 0.02042 seg, Number of threads: 4, Limit: 100000
Time: 0.013305 seg, Number of threads: 4, Limit: 100000
Time: 0.020192 seg, Number of threads: 4, Limit: 100000
Time: 0.020105 seg, Number of threads: 4, Limit: 100000
Time: 0.018043 seg, Number of threads: 4, Limit: 100000
Time: 0.022355 seg, Number of threads: 4, Limit: 100000
Time: 0.010805 seg, Number of threads: 4, Limit: 100000
Time: 0.010708 seg, Number of threads: 4, Limit: 100000
Time: 0.010843 seg, Number of threads: 4, Limit: 100000
Time: 0.011663 seg, Number of threads: 8, Limit: 100000
Time: 0.023722 seg, Number of threads: 8, Limit: 100000
Time: 0.015618 seg, Number of threads: 8, Limit: 100000
Time: 0.013727 seg, Number of threads: 8, Limit: 100000
Time: 0.011495 seg, Number of threads: 8, Limit: 100000
Time: 0.010782 seg, Number of threads: 8, Limit: 100000
Time: 0.011059 seg, Number of threads: 8, Limit: 100000
Time: 0.011853 seg, Number of threads: 8, Limit: 100000
Time: 0.018791 seg, Number of threads: 8, Limit: 100000
Time: 0.022521 seg, Number of threads: 8, Limit: 100000
Time: 0.20482 seg, Number of threads: 1, Limit: 1000000
Time: 0.188192 seg, Number of threads: 1, Limit: 1000000
Time: 0.181604 seg, Number of threads: 1, Limit: 1000000
Time: 0.101735 seg, Number of threads: 1, Limit: 1000000
Time: 0.169611 seg, Number of threads: 1, Limit: 1000000
Time: 0.161835 seg, Number of threads: 1, Limit: 1000000
Time: 0.168598 seg, Number of threads: 1, Limit: 1000000
Time: 0.220046 seg, Number of threads: 1, Limit: 1000000
Time: 0.203778 seg, Number of threads: 1, Limit: 1000000
Time: 0.169589 seg, Number of threads: 1, Limit: 1000000
Time: 0.112006 seg, Number of threads: 2, Limit: 1000000
Time: 0.172076 seg, Number of threads: 2, Limit: 1000000
Time: 0.154031 seg, Number of threads: 2, Limit: 1000000
Time: 0.159416 seg, Number of threads: 2, Limit: 1000000
Time: 0.168107 seg, Number of threads: 2, Limit: 1000000
Time: 0.103234 seg, Number of threads: 2, Limit: 1000000
Time: 0.097461 seg, Number of threads: 2, Limit: 1000000
Time: 0.116924 seg, Number of threads: 2, Limit: 1000000
Time: 0.11439 seg, Number of threads: 2, Limit: 1000000
Time: 0.104328 seg, Number of threads: 2, Limit: 1000000
Time: 0.16964 seg, Number of threads: 4, Limit: 1000000
Time: 0.107993 seg, Number of threads: 4, Limit: 1000000
Time: 0.130935 seg, Number of threads: 4, Limit: 1000000
Time: 0.102732 seg, Number of threads: 4, Limit: 1000000
Time: 0.154746 seg, Number of threads: 4, Limit: 1000000
Time: 0.11219 seg, Number of threads: 4, Limit: 1000000
Time: 0.177403 seg, Number of threads: 4, Limit: 1000000
Time: 0.148695 seg, Number of threads: 4, Limit: 1000000
Time: 0.145614 seg, Number of threads: 4, Limit: 1000000
Time: 0.114249 seg, Number of threads: 4, Limit: 1000000
Time: 0.123583 seg, Number of threads: 8, Limit: 1000000
Time: 0.162462 seg, Number of threads: 8, Limit: 1000000
Time: 0.10368 seg, Number of threads: 8, Limit: 1000000
Time: 0.10736 seg, Number of threads: 8, Limit: 1000000
Time: 0.104249 seg, Number of threads: 8, Limit: 1000000
Time: 0.099082 seg, Number of threads: 8, Limit: 1000000
Time: 0.105526 seg, Number of threads: 8, Limit: 1000000
Time: 0.132565 seg, Number of threads: 8, Limit: 1000000
Time: 0.148837 seg, Number of threads: 8, Limit: 1000000
Time: 0.105445 seg, Number of threads: 8, Limit: 1000000
Time: 2.095356 seg, Number of threads: 1, Limit: 10000000
Time: 1.623233 seg, Number of threads: 1, Limit: 10000000
Time: 2.067382 seg, Number of threads: 1, Limit: 10000000
Time: 2.089441 seg, Number of threads: 1, Limit: 10000000
Time: 2.121858 seg, Number of threads: 1, Limit: 10000000
Time: 2.221622 seg, Number of threads: 1, Limit: 10000000
Time: 1.907807 seg, Number of threads: 1, Limit: 10000000
Time: 1.822381 seg, Number of threads: 1, Limit: 10000000
Time: 2.040957 seg, Number of threads: 1, Limit: 10000000
Time: 2.054268 seg, Number of threads: 1, Limit: 10000000
Time: 2.34265 seg, Number of threads: 2, Limit: 10000000
Time: 2.267404 seg, Number of threads: 2, Limit: 10000000
Time: 2.076547 seg, Number of threads: 2, Limit: 10000000
Time: 2.226337 seg, Number of threads: 2, Limit: 10000000
Time: 2.251549 seg, Number of threads: 2, Limit: 10000000
Time: 1.942202 seg, Number of threads: 2, Limit: 10000000
Time: 2.148154 seg, Number of threads: 2, Limit: 10000000
Time: 1.852992 seg, Number of threads: 2, Limit: 10000000
Time: 2.375389 seg, Number of threads: 2, Limit: 10000000
Time: 2.285432 seg, Number of threads: 2, Limit: 10000000
Time: 2.182678 seg, Number of threads: 4, Limit: 10000000
Time: 2.033405 seg, Number of threads: 4, Limit: 10000000
Time: 2.261233 seg, Number of threads: 4, Limit: 10000000
Time: 2.092966 seg, Number of threads: 4, Limit: 10000000
Time: 2.328243 seg, Number of threads: 4, Limit: 10000000
Time: 1.897085 seg, Number of threads: 4, Limit: 10000000
Time: 1.891317 seg, Number of threads: 4, Limit: 10000000
Time: 1.979989 seg, Number of threads: 4, Limit: 10000000
Time: 2.260925 seg, Number of threads: 4, Limit: 10000000
Time: 2.104179 seg, Number of threads: 4, Limit: 10000000
Time: 2.139176 seg, Number of threads: 8, Limit: 10000000
Time: 2.014928 seg, Number of threads: 8, Limit: 10000000
Time: 1.949414 seg, Number of threads: 8, Limit: 10000000
Time: 2.018738 seg, Number of threads: 8, Limit: 10000000
Time: 2.364972 seg, Number of threads: 8, Limit: 10000000
Time: 2.216384 seg, Number of threads: 8, Limit: 10000000
Time: 2.319465 seg, Number of threads: 8, Limit: 10000000
Time: 2.157089 seg, Number of threads: 8, Limit: 10000000
Time: 1.83855 seg, Number of threads: 8, Limit: 10000000
Time: 2.043921 seg, Number of threads: 8, Limit: 10000000
Time: 22.588661 seg, Number of threads: 1, Limit: 100000000
Time: 23.130545 seg, Number of threads: 1, Limit: 100000000
Time: 23.562983 seg, Number of threads: 1, Limit: 100000000
Time: 24.514148 seg, Number of threads: 1, Limit: 100000000
Time: 22.864814 seg, Number of threads: 1, Limit: 100000000
Time: 25.138694 seg, Number of threads: 1, Limit: 100000000
Time: 24.133549 seg, Number of threads: 1, Limit: 100000000
Time: 23.886107 seg, Number of threads: 1, Limit: 100000000
Time: 23.427298 seg, Number of threads: 1, Limit: 100000000
Time: 23.813385 seg, Number of threads: 1, Limit: 100000000
Time: 24.270262 seg, Number of threads: 2, Limit: 100000000
Time: 21.640866 seg, Number of threads: 2, Limit: 100000000
Time: 24.24367 seg, Number of threads: 2, Limit: 100000000
Time: 24.380366 seg, Number of threads: 2, Limit: 100000000
Time: 24.022382 seg, Number of threads: 2, Limit: 100000000
Time: 24.258682 seg, Number of threads: 2, Limit: 100000000
Time: 23.697579 seg, Number of threads: 2, Limit: 100000000
Time: 23.135741 seg, Number of threads: 2, Limit: 100000000
Time: 22.71618 seg, Number of threads: 2, Limit: 100000000
Time: 22.549779 seg, Number of threads: 2, Limit: 100000000
Time: 23.024948 seg, Number of threads: 4, Limit: 100000000
Time: 23.367551 seg, Number of threads: 4, Limit: 100000000
Time: 22.910103 seg, Number of threads: 4, Limit: 100000000
Time: 21.151702 seg, Number of threads: 4, Limit: 100000000
Time: 23.337294 seg, Number of threads: 4, Limit: 100000000
Time: 22.896042 seg, Number of threads: 4, Limit: 100000000
Time: 22.019286 seg, Number of threads: 4, Limit: 100000000
Time: 21.476932 seg, Number of threads: 4, Limit: 100000000
Time: 23.048163 seg, Number of threads: 4, Limit: 100000000
Time: 22.189049 seg, Number of threads: 4, Limit: 100000000
Time: 22.308113 seg, Number of threads: 8, Limit: 100000000
Time: 22.438336 seg, Number of threads: 8, Limit: 100000000
Time: 22.451379 seg, Number of threads: 8, Limit: 100000000
Time: 24.806912 seg, Number of threads: 8, Limit: 100000000
Time: 22.499644 seg, Number of threads: 8, Limit: 100000000
Time: 22.984555 seg, Number of threads: 8, Limit: 100000000
Time: 24.100093 seg, Number of threads: 8, Limit: 100000000
Time: 22.996557 seg, Number of threads: 8, Limit: 100000000
Time: 23.21462 seg, Number of threads: 8, Limit: 100000000
Time: 23.900775 seg, Number of threads: 8, Limit: 100000000
